LP,Address,Description,TLAND balance,TLAND staked,Advisors Vesting,Private Vesting,Subme Vesting,STT Vesting,TLAND SUM,LP SUM (balance + staked),TLAND TOTAL,,LP MULTIPLIER
9431,terra1z6uk9uv4xzx3p9gftn7g7zvrtutugyzm6ntxlr,,0,0,0,0,0,353983571,353983571,0,353983571,,
9432,terra1z6uujseusnrkmru8hnsp4dfhr8y0ql96dnj7sw,,176561866,0,0,0,0,0,176561866,0,176561866,,
9433,terra1z6v6tg24tcr0sh6sk8e3ywkjz9xzjzahcd345u,,0,0,0,0,0,0,0,3258211,13790842,,
9434,terra1z6y37f83jz23vjpuhds5csm9t7zg3sxgx6flnp,,0,393670,0,0,0,0,393670,0,393670,,
9435,terra1z6ys43vk3x3zh2e4p8rjch8grjghede3uf74kl,,0,0,0,1733160000,0,0,1733160000,0,1733160000,,
9436,terra1z7f8yylz353cccht3ag3sh55v7a46qv42hvgqm,,87590,0,0,0,0,0,87590,0,87590,,
9437,terra1z7fde3yhy6gnrw2pdstqcfft40mh8u7q6sg5gt,,354443273,0,0,0,0,0,354443273,0,354443273,,
9438,terra1z7gk5g8z2xyhrz94w66e7d7ncggx78sxrurl48,,444130,0,0,0,0,0,444130,0,444130,,
9439,terra1z7h3uvq8nnvuqhj6naa039kexkrkudmpndecqj,,0,0,0,0,0,6308,6308,1598992,6774269,,
9440,terra1z7kngad480kacv554quz509lr3el3te8ggupdw,,0,9857780,0,0,0,0,9857780,0,9857780,,
9441,terra1z7nzydrpe08k6qk9eu3kcjslelkumrwhadn570,,0,0,0,17333160000,0,0,17333160000,0,17333160000,,
9442,terra1z7sa6g7fjgk4znl00hj5v24rpaudrnwgplqech,,0,0,0,0,0,0,0,0,0,,
9443,terra1z7v525zgvydqaumvfryqrsalsyqwetdfwdr39v,,0,0,0,0,0,0,0,16313976,69051227,,
9444,terra1z7wufwza7j27gjj6zyvdfq9xwe7xc3yg43wr4h,,0,0,0,0,0,0,0,0,0,,
9445,terra1z82vwq0ga3k7z4yz5f85pvmhqnamtz4rx4duzh,,0,0,0,0,0,5033,5033,0,5033,,
9446,terra1z85wad2yn44u8zmfcr6y0c5cqm9uc4nlzlfdx4,,0,0,0,0,0,716785639,716785639,0,716785639,,
9447,terra1z8cd895f77m8d5v28ec8w3zzs66yx85mjakj0u,,0,0,0,0,0,0,0,1074,4546,,
9448,terra1z8fqvwjqjlqxt3qaecdd42dnmzn7tg3pdeh3pg,,0,361625214,0,0,0,0,361625214,0,361625214,,
9449,terra1z8jcpsew40s5dqv7nym0jk2hcuxh42yrf28ara,,458836163,0,0,0,0,0,458836163,56864958,699525197,,
9450,terra1z8jxv66fzehlrxgxqxmhwaanxuu888p6q0c795,,0,0,0,0,0,0,0,0,0,,
9451,terra1z8wl9y9lztd047cyhwdfwgsz853ywamg34pys8,,0,0,0,0,0,0,0,0,0,,
9452,terra1z8y0cexpsvwczwtt9kfe2yrcuvsnzzgsjye9a4,,0,0,0,0,0,0,0,0,0,,
9453,terra1z93y0reemse5heraeld4kw6y5jxha5g03e435l,,0,0,0,0,0,0,0,0,0,,
9454,terra1z9443reerqr0l4gss5f9wn78rj4j9440mcu82g,,0,0,0,0,0,364386476,364386476,0,364386476,,
9455,terra1z99v9j223lw7fevf2rjq6ezchaxswaym6lx6er,,0,0,0,0,0,0,0,0,0,,
9456,terra1z9cfy8d2qctykw0c4j730yk0qshza4uvtlcnvw,,273867525,0,0,0,0,7975490,281843015,0,281843015,,
9457,terra1z9fqvx0w3dxgmn8zrz7fycp7g6wn3snzs66zm4,,556000575,0,0,0,0,0,556000575,0,556000575,,
9458,terra1z9jmvk5k9lrj8uw7yt2grwhl5ptkym47y9ysvr,,0,1086,0,0,0,0,1086,0,1086,,
9459,terra1z9p7pdmxcs0e5j5k5xx2d30yy8hm23c6eqrf8t,,0,0,0,0,0,303662230,303662230,0,303662230,,
9460,terra1z9qgcphku88s55fe45tquju72wlu2la8teef58,,0,0,0,0,0,185214677,185214677,0,185214677,,
9461,terra1z9qzy242m3qs4yv9wzssmau8c4p48tutejqkyz,,0,18759353,0,0,0,0,18759353,116622510,512380737,,
9462,terra1z9tnq0crcqzrwh9qsdt6gn673h5qyvmpjn68wn,,87590,0,0,0,0,0,87590,0,87590,,
9463,terra1z9vjtku9557vhpt28nw7rwa8f9cruanqg3hl06,,7841685,0,0,0,0,0,7841685,0,7841685,,
9464,terra1za6xyudtmayyuxlcf0cs03vjkvgg8hzr79h3t3,,0,0,0,0,0,0,0,0,0,,
9465,terra1za8qm9dv6hrralkfdtn3w3dng6jdjasxqecnla,,0,452654669,0,0,0,0,452654669,725817432,3524780330,,
9466,terra1za9hv8mp0ty89j98gncvxkkwwft8yyqvg88l28,,0,0,0,0,0,484014509,484014509,0,484014509,,
9467,terra1zackdzjhp5pfkpaj9w2a8uxm5rcphkv0w2juv0,,0,0,0,0,0,0,0,0,0,,
9468,terra1zakne2kmp78fp477vaqxunj0tl27leqglkc2hw,,18500000,0,0,0,0,0,18500000,0,18500000,,
9469,terra1zal2jvzawppjvxhpcfq9tg370ppywv4h5j3z52,,0,2006822915,0,0,0,0,2006822915,0,2006822915,,
9470,terra1zaq50hjsu25gzrthv2rhu5jmawvh554w66yscr,,3160590,0,0,0,0,0,3160590,0,3160590,,
9471,terra1zaspqwgcd2rvtg9skuyczwtt2qcf2nzk8rswtu,,0,0,0,0,0,0,0,5348172,22636900,,
9472,terra1zauk7vtx0706td0jmsafgmym2hfq2hahwlmxyh,,10048360,0,0,0,0,0,10048360,0,10048360,,
9473,terra1zc4pjekxy3a69zsmvgesuqkrmsaesakc5muy84,,0,0,0,0,0,0,0,0,0,,
9474,terra1zc9e667lvg4k5u7muyxj58d4whdjwwqk6u3c44,,0,0,0,0,0,2821574740,2821574740,0,2821574740,,
9475,terra1zcfdvw3s94f6ky9t6ck7e2g70e6zjfda0vtdqn,,0,0,0,0,0,0,0,0,0,,
9476,terra1zcg5qv5r5eqqlupv8cdapwrzm26vxaj8mcunqf,,0,75225990,0,0,0,0,75225990,6101,75251813,,
9477,terra1zckswq5hp3krpydmztdcs3l5jl3f8e8lxjdyw8,,386949111,0,0,0,0,0,386949111,28420,387069403,,
9478,terra1zcpp20havczvjsjewpj8zq0tfjdzstm8xkv2m6,,0,0,0,0,0,0,0,99040317,419202248,,
9479,terra1zcqkm8cah95l7wrz80u5z87d7jxl8wql3hxq6z,,0,0,0,0,0,0,0,0,0,,
9480,terra1zcvcs6zaq7a00wnqtu4hplfryk5953s3leq5q5,,1126460000,0,0,1111540000,0,0,2238000000,0,2238000000,,
9481,terra1zdh2ljfjugn8kt540z80r30nqxmmddwcqtsy28,,123191763,348610,0,0,0,0,123540373,1628750032,7017456871,,
9482,terra1zdnlz2686pwdl6ux2yzsl22p3e30nkt4tg898m,,141792749,0,0,0,0,0,141792749,0,141792749,,
9483,terra1zdpq2x04dqyxg3u57pyhfqgss40uqjqudw0tsh,,590,260000000,0,0,0,0,260000590,0,260000590,,
9484,terra1zdr6qx9fw47l8smzvxs5qfkj8aa55lmjp2lwgh,,0,"1520,000001",0,0,0,0,1520,272098057,1151695302,,
9485,terra1zdsm4qtx0nmrlaxcqh0mv3lj9r8l356ajhpjqd,,497022408,82515470,0,0,0,220585044,800122922,549600608,3126385777,,
9486,terra1ze7p82c2das629ype5f3xcrmtg7p5jtp6hpdrq,,77329167,0,0,0,0,0,77329167,0,77329167,,
9487,terra1zecmmmzmgp2v9sn2ntdyh0l436drv67kd9zxn7,,0,0,0,0,0,0,0,0,0,,
9488,terra1zehvwmq7hymv5r0vmw0hwhdw2fn02yhtkfkt58,,93425921,0,0,0,0,0,93425921,119893884,600893862,,
